iter	Passed	Remaining
0	123	123214
1	125	62783
2	128	42687
3	130	32605
4	133	26573
5	135	22472
6	137	19543
7	140	17431
8	142	15723
9	145	14390
10	148	13345
11	151	12436
12	153	11670
13	156	11015
14	159	10456
15	161	9961
16	165	9546
17	167	9163
18	171	8840
19	173	8504
20	175	8196
21	178	7932
22	180	7667
23	182	7435
24	185	7217
25	187	7022
26	190	6867
27	192	6686
28	194	6525
29	197	6375
30	199	6230
31	201	6098
32	203	5976
33	206	5865
34	209	5771
35	211	5668
36	214	5572
37	216	5489
38	219	5407
39	222	5337
40	225	5271
41	227	5197
42	230	5133
43	233	5065
44	235	5000
45	238	4947
46	240	4884
47	243	4827
48	246	4777
49	249	4736
50	251	4684
51	254	4631
52	256	4589
53	259	4553
54	262	4507
55	264	4465
56	267	4424
57	270	4385
58	272	4343
59	274	4304
60	277	4269
61	280	4242
62	283	4212
63	285	4178
64	288	4153
65	291	4124
66	295	4109
67	298	4090
68	301	4066
69	304	4047
70	307	4024
71	313	4038
72	316	4021
73	319	3997
74	322	3976
75	325	3957
76	328	3938
77	331	3919
78	334	3901
79	337	3879
80	340	3861
81	343	3842
82	345	3822
83	348	3801
84	351	3786
85	354	3769
86	357	3750
87	360	3735
88	363	3721
89	366	3703
90	369	3688
91	372	3675
92	375	3665
93	379	3653
94	382	3645
95	385	3628
96	388	3615
97	391	3605
98	394	3593
99	398	3589
100	400	3562
101	403	3550
102	405	3534
103	409	3525
104	412	3514
105	416	3509
106	418	3495
107	421	3482
108	424	3468
109	426	3453
110	429	3441
111	432	3431
112	436	3428
113	439	3419
114	443	3410
115	446	3406
116	449	3396
117	452	3384
118	456	3377
119	459	3367
120	462	3358
121	465	3352
122	469	3345
123	472	3337
124	475	3326
125	478	3315
126	480	3306
127	484	3297
128	487	3290
129	490	3282
130	493	3276
131	497	3270
132	500	3260
133	502	3249
134	505	3240
135	509	3237
136	512	3227
137	515	3218
138	518	3210
139	521	3203
140	524	3195
141	526	3183
142	530	3176
143	532	3166
144	535	3159
145	538	3149
146	542	3145
147	546	3143
148	548	3134
149	551	3125
150	555	3121
151	558	3115
152	561	3105
153	564	3099
154	567	3092
155	570	3087
156	573	3081
157	576	3074
158	579	3065
159	582	3060
160	586	3054
161	589	3048
162	592	3041
163	594	3031
164	597	3024
165	600	3018
166	603	3012
167	607	3007
168	610	3003
169	614	3001
170	618	2999
171	623	2999
172	626	2994
173	629	2988
174	632	2982
175	636	2979
176	639	2975
177	642	2966
178	644	2956
179	647	2949
180	649	2940
181	652	2931
182	654	2922
183	657	2914
184	659	2906
185	662	2897
186	664	2888
187	666	2880
188	669	2871
189	672	2866
190	674	2858
191	677	2850
192	680	2844
193	682	2836
194	685	2828
195	687	2821
196	690	2814
197	693	2809
198	696	2803
199	699	2799
200	703	2795
201	705	2787
202	708	2780
203	710	2773
204	713	2767
205	716	2760
206	718	2754
207	721	2747
208	724	2740
209	726	2733
210	729	2726
211	731	2718
212	734	2715
213	738	2711
214	740	2705
215	743	2698
216	746	2694
217	750	2690
218	753	2686
